accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.91875,0.9187132939718091,0.9195077358478753,0.91875,0.92044,1,0.94,0.9169859514687101,0.9373368146214099,0.8975,"[819068, 817127, 818109, 817230, 819149, 818310, 819030, 817967, 818525, 818975, 818553, 817652, 819047, 818449, 818073, 818686, 818176, 819315, 818396, 818159, 820066, 818858, 818384, 819777]","[825926, 824482, 823336, 823752, 824394, 824654, 824443, 823564, 824017, 824663, 824074, 825612, 824361, 823285, 824272, 823166, 825453, 823558, 824415, 824624, 825219, 825257, 823310, 823195, 823148, 823190, 824483, 824039, 824765, 824150, 824186, 824859, 824228, 824347, 823368, 825111, 825567, 825662, 825018, 826006, 826011]","{'TTR': 0.17137708976277782, 'lex_density': 0.07898610681429409, 'DT': 0.06063368095090859, 'we': 0.05616830966677919, 'that': 0.04688283070563422, 'PRP': 0.03460232314326073, 'the': 0.033534029539912, 'a': 0.029928428140372675, 'VBG': 0.022684939051317375, 'NNS': 0.017541151601149253}"
0.9075,0.9074994218713865,0.9075101877546939,0.9075,0.90727,1,0.905,0.9077306733167082,0.9054726368159204,0.91,"[819621, 817670, 819149, 819977, 820032, 817118, 818533, 817230, 820030, 817912, 818606, 819317, 818507, 819598, 819862, 818568, 820101, 818326, 818975, 817400, 818214, 819513, 819273, 818351, 818067, 818863, 819870, 818387, 819912, 819856, 819180, 818740, 817691, 817185, 818284, 818641, 818159, 818269]","[825598, 825662, 823566, 825783, 824049, 825410, 824266, 824650, 825287, 824879, 823619, 823517, 825564, 824928, 823919, 824253, 823311, 825612, 823790, 825257, 825776, 824242, 825184, 825671, 824086, 825352, 825739, 823195, 826052, 824987, 825292, 825475, 824947, 825958, 823310, 824066]","{'TTR': 0.18006843199489836, 'lex_density': 0.07913784960575766, 'DT': 0.058873428315850844, 'we': 0.05453154323325067, 'that': 0.04417044877710797, 'a': 0.03342651177801989, 'PRP': 0.031399786074449945, 'the': 0.030033644218951574, 'VBG': 0.02301153542427029, 'NNS': 0.018354376741643103}"
0.9,0.899994374683576,0.9000900202545573,0.9,0.89924,1,0.8925,0.9007444168734491,0.8940886699507389,0.9075,"[817893, 818326, 819867, 818387, 819568, 818887, 819632, 819756, 820030, 818388, 817973, 819521, 818885, 820106, 817191, 817409, 819492, 818284, 817237, 818610, 818533, 817306, 818817, 819444, 819908, 818145, 817352, 819288, 817341, 817125, 820032, 819441, 819068, 817118, 817128, 819362, 818553, 818084, 819317, 818888, 818639, 817841, 819977]","[824279, 825563, 824842, 825074, 825533, 826028, 823782, 825483, 826017, 823537, 824451, 824039, 824805, 823347, 823484, 825263, 823253, 824415, 823767, 823473, 824650, 825783, 823153, 823138, 824947, 825642, 825152, 824251, 824066, 824328, 824454, 825567, 824137, 823278, 824516, 824397, 826011]","{'TTR': 0.16651856884165567, 'lex_density': 0.08821907961790874, 'we': 0.06355382485812544, 'DT': 0.05619946341116793, 'that': 0.04057548438175334, 'PRP': 0.035183212278850906, 'the': 0.03413527586683898, 'a': 0.03141336820614669, 'VBG': 0.02604497521662021, 'NNS': 0.01896638729296064}"
0.91125,0.911243204557849,0.9113759838950679,0.91125,0.91202,1,0.92,0.9104665825977302,0.9185750636132316,0.9025,"[819621, 817967, 817759, 820081, 817552, 818514, 819598, 817911, 818771, 819833, 817159, 817994, 818676, 819995, 817723, 819125, 819658, 817837, 819788, 818669, 817152, 818159, 817409, 819315, 819622, 818887, 818699, 818553, 818784, 818169, 817966, 817329]","[824996, 823924, 825853, 823266, 824298, 825158, 824199, 825260, 824242, 825489, 825059, 825902, 823310, 825592, 825519, 823365, 826063, 825292, 825352, 824947, 824415, 825824, 825840, 824690, 824218, 824089, 825624, 823176, 824347, 825774, 824759, 824194, 825376, 823120, 824163, 825074, 826017, 823998, 825426]","{'TTR': 0.16009656485523363, 'lex_density': 0.08878855132251455, 'DT': 0.06064771960705865, 'we': 0.05557565173392971, 'that': 0.04397288687754275, 'the': 0.037115488283081324, 'PRP': 0.03374306572783241, 'a': 0.032585520221375966, 'VBG': 0.026250590950662178, 'RB': 0.01768528114975258}"
0.9225,0.9225,0.9225,0.9225,0.9225,1,0.9225,0.9225,0.9225,0.9225,"[819426, 819626, 818788, 817730, 818351, 817890, 818974, 818310, 819643, 817583, 819658, 817224, 818419, 819923, 819977, 819116, 819637, 817152, 817837, 818507, 818523, 819183, 818628, 818676, 819980, 820032, 818159, 817768, 818122, 819932, 818246]","[824465, 826006, 823559, 823793, 823854, 825598, 824991, 825958, 826108, 823480, 823341, 824698, 826046, 825705, 823311, 825575, 823593, 823619, 825567, 823235, 825353, 825564, 823800, 825458, 825941, 823456, 825257, 823440, 824681, 825130, 825158]","{'TTR': 0.18321241636848992, 'lex_density': 0.06649350763792711, 'DT': 0.05569153730802356, 'we': 0.05317928776224161, 'that': 0.045408169401231664, 'a': 0.038122811665866785, 'the': 0.03243628353712307, 'PRP': 0.028729413912975864, 'VBG': 0.025136780117228766, 'is': 0.017466707734616404}"
0.8975,0.8975,0.8975,0.8975,0.8975,1,0.8975,0.8975,0.8975,0.8975,"[819492, 819622, 818606, 818422, 819816, 818963, 818610, 818784, 818103, 817822, 818363, 818222, 819794, 819749, 817187, 818641, 819912, 817582, 819839, 818310, 819980, 817127, 817230, 818449, 818635, 817759, 819285, 819309, 818975, 819632, 817936, 817191, 818079, 818639, 818628, 819396, 818525, 817510, 817666, 818568, 817670]","[825043, 825840, 825385, 825567, 825519, 823266, 824859, 825624, 825457, 824559, 823508, 825368, 824754, 824940, 824198, 824186, 825575, 825206, 825822, 824584, 824079, 823484, 823361, 823537, 825828, 823535, 823336, 823980, 825547, 824407, 825902, 825074, 826107, 825824, 826021, 824437, 824030, 824368, 824454, 824086, 823135]","{'TTR': 0.1750927491662507, 'lex_density': 0.07235269621996536, 'DT': 0.0712268474736123, 'we': 0.05636827991793785, 'that': 0.039022579599549, 'the': 0.03705633321906219, 'a': 0.031093144485749128, 'PRP': 0.029237755777434357, 'VBG': 0.023909507260519228, 'NNS': 0.017158225291625064}"
0.91375,0.9137110351393051,0.9144986882556617,0.91375,0.91554,1,0.935,0.9118773946360154,0.9321148825065274,0.8925,"[817934, 819407, 819908, 818888, 820066, 818537, 819805, 817344, 818887, 819309, 817535, 817552, 818872, 818788, 818363, 818699, 819632, 818975, 819521, 819637, 819969, 817408, 817735, 817128, 817159, 817127]","[824892, 823480, 824995, 824137, 825612, 825728, 823361, 824010, 823285, 825212, 825287, 823793, 824676, 824179, 824066, 823235, 824040, 824559, 824472, 823166, 823854, 824690, 825453, 824437, 825350, 825642, 824643, 825598, 825639, 823537, 825575, 826110, 826007, 823559, 825929, 824842, 824361, 824079, 824451, 825462, 824300, 823871, 825902]","{'TTR': 0.17196520287821151, 'lex_density': 0.07137373285264488, 'DT': 0.057312761755251775, 'we': 0.05694950145338048, 'that': 0.04103457044021651, 'the': 0.03697538509273204, 'a': 0.031753423295069985, 'PRP': 0.02965136507127695, 'VBG': 0.029095889990949843, 'is': 0.01959102622486578}"
0.9075,0.9074791828161335,0.9078670803723351,0.9075,0.90887,1,0.9225,0.9060913705583756,0.9201030927835051,0.8925,"[818030, 819839, 818886, 819285, 818376, 819995, 817713, 820100, 819721, 820095, 818214, 817557, 817582, 819426, 819492, 817128, 819749, 818246, 817187, 818222, 818449, 817559, 818448, 819381, 818641, 817223, 819794, 817552, 818676, 818728, 817306]","[825575, 825776, 823567, 825981, 825840, 825605, 823742, 824086, 824180, 825910, 824940, 823593, 823559, 824726, 825220, 825130, 823566, 823782, 823765, 824842, 824650, 825248, 823440, 825215, 824152, 824095, 825941, 824436, 824517, 824584, 823621, 823404, 824118, 824528, 823456, 824759, 825639, 823212, 823537, 826021, 824363, 824991, 825902]","{'TTR': 0.1675102140599636, 'lex_density': 0.08053771213430423, 'DT': 0.05789647583683768, 'we': 0.05482418429519811, 'that': 0.04631424463787291, 'a': 0.0353065251169399, 'the': 0.033523766177885064, 'PRP': 0.03340448545285715, 'VBG': 0.022970801358142855, 'NNS': 0.021356163011771397}"
0.905,0.905,0.905,0.905,0.905,1,0.905,0.905,0.905,0.905,"[817127, 819074, 818586, 817448, 818975, 819621, 817583, 819344, 819068, 818858, 819455, 819833, 817187, 817552, 820039, 817906, 818669, 818699, 818122, 819029, 820107, 819767, 817936, 818676, 818326, 819990, 817411, 817237, 819444, 819288, 818523, 819867, 818540, 818079, 817191, 820098, 818783, 819749]","[825974, 825519, 825650, 823537, 824947, 823140, 823456, 825046, 825278, 824179, 825352, 825706, 824561, 825783, 823310, 826030, 824958, 824302, 825112, 823470, 825958, 826068, 824420, 823464, 825250, 823340, 824118, 824040, 823497, 825267, 825279, 825981, 824158, 823190, 824002, 824247, 825109, 826007]","{'TTR': 0.1813565676892349, 'lex_density': 0.08302616949127378, 'we': 0.05793384850072009, 'DT': 0.05663205410254603, 'that': 0.04110527653176233, 'PRP': 0.03347945605587052, 'the': 0.03309040574269922, 'a': 0.028745257231080894, 'VBG': 0.02323388095965444, 'NNS': 0.01650396037895864}"
0.91625,0.9162488222490629,0.9162734153796152,0.91625,0.91656,1,0.92,0.9159347553324969,0.9193954659949622,0.9125,"[819106, 819285, 817128, 818553, 818313, 819407, 819573, 817118, 819923, 817377, 817535, 817906, 818905, 819229, 819116, 817841, 819183, 819721, 819455, 818771, 818606, 820030, 819180, 819788, 819345, 817409, 818724, 819990, 818145, 819942, 818783, 819441]","[824516, 824242, 823470, 824347, 824459, 825248, 825285, 823993, 823126, 823171, 825533, 824192, 825853, 823219, 823423, 825975, 826046, 824039, 826021, 823285, 825111, 823456, 824463, 825074, 824396, 825697, 823543, 824584, 823782, 825828, 824454, 826011, 825123, 825929, 825385]","{'TTR': 0.18292961366472232, 'lex_density': 0.07873374946991431, 'we': 0.058324490666438036, 'DT': 0.05784462724910198, 'that': 0.042365833281752314, 'the': 0.037591547446771144, 'PRP': 0.0343290200604388, 'a': 0.031588514171178986, 'VBG': 0.023645956835816943, 'NNS': 0.01968106016279642}"
