accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9575163398692811,0.9574395241101137,0.960843373493976,0.9575163398692811,0.95925,1,1.0,0.9556313993174061,1.0,0.9150326797385621,[],"[1171894, 978684, 1228796, 1228764, 978899, 978384, 978959, 1228811, 978767, 978863, 978946, 978660, 978502]","{'TTR': 0.13188394637016906, 'mean_sen_len': 0.10491314104793217, 'or': 0.05358799170051928, 'to': 0.045646545634408536, 'this': 0.04312607411246911, 'VBD': 0.03906141703156571, 'VBP': 0.03430454398217029, 'with': 0.02532210014063641, 'of': 0.02499752872544788, 'you': 0.023427552204641985}"
0.9771241830065359,0.9771122057550728,0.9781249999999999,0.9771241830065359,0.97764,1,1.0,0.9765886287625418,1.0,0.954248366013072,[],"[978650, 978767, 978577, 1228838, 978501, 978593, 978864]","{'mean_sen_len': 0.11484399695034092, 'TTR': 0.11174574370225943, 'or': 0.052971347358695964, 'to': 0.04159353439853945, 'this': 0.03958816368250892, 'that': 0.036937365638739034, 'VBP': 0.03418252533687381, 'VBD': 0.029869878012086893, 'with': 0.025470258131425692, 'you': 0.02373031374183522}"
0.9738562091503268,0.9738383277048691,0.9751552795031055,0.9738562091503268,0.97452,1,1.0,0.9731543624161074,1.0,0.9477124183006536,[],"[978611, 1228838, 1171887, 978617, 978647, 978367, 1228824, 1171915]","{'TTR': 0.11318572662944458, 'mean_sen_len': 0.11079629666619958, 'or': 0.06149540086294201, 'VBD': 0.04420983697339354, 'this': 0.03914821226839813, 'with': 0.038936373995492095, 'to': 0.034415989644653006, 'VBP': 0.03269989838763257, 'is': 0.02809495544338842, 'that': 0.02797298795217094}"
0.9738562091503268,0.9738383277048691,0.9751552795031055,0.9738562091503268,0.97452,1,1.0,0.9731543624161074,1.0,0.9477124183006536,[],"[978593, 978891, 978374, 978589, 1228798, 1228824, 978620, 978863]","{'TTR': 0.12663905508259268, 'mean_sen_len': 0.10427342742370695, 'or': 0.05603521527066228, 'this': 0.040299068507214646, 'VBD': 0.03950045182507399, 'with': 0.03445475943101901, 'to': 0.03244689286121, 'VBP': 0.03137003379063223, 'that': 0.02787134257559575, 'is': 0.02733553117167912}"
0.9477124183006536,0.9476027397260275,0.9514926980571231,0.9477124183006536,0.95,1,0.9934640522875817,0.9452054794520548,0.9928057553956835,0.9019607843137255,[1101343],"[978650, 978649, 978956, 978798, 978358, 978620, 978419, 978891, 978457, 978790, 978789, 978821, 978725, 978502, 978864]","{'TTR': 0.11687790192716198, 'mean_sen_len': 0.11507931388122943, 'or': 0.05254860571423095, 'this': 0.04277925902445541, 'to': 0.042573191103082324, 'VBD': 0.03799683192937304, 'with': 0.03565102080493452, 'VBP': 0.029866847945717194, 'of': 0.02763867358262704, 'is': 0.026624866089632063}"
0.9575163398692811,0.9574395241101137,0.960843373493976,0.9575163398692811,0.95925,1,1.0,0.9556313993174061,1.0,0.9150326797385621,[],"[978436, 1171894, 978946, 978660, 978789, 978936, 978385, 1228824, 1228764, 1171887, 978831, 978469, 978956]","{'TTR': 0.11167541328462434, 'mean_sen_len': 0.11110085644776868, 'or': 0.05803447883631091, 'to': 0.05338073258122598, 'this': 0.04489326438766654, 'VBP': 0.03693120737093227, 'VBD': 0.03331464273572829, 'with': 0.02757466395333382, 'that': 0.025202172570051848, 'in': 0.021985010821363376}"
0.9640522875816994,0.9640057744746833,0.9664634146341464,0.9640522875816994,0.9653,1,1.0,0.9627118644067797,1.0,0.9281045751633987,[],"[978798, 978863, 978815, 978660, 978385, 978498, 978516, 978789, 978469, 978738, 1228829]","{'TTR': 0.1330199788661343, 'mean_sen_len': 0.10990108140558702, 'or': 0.0620616541747736, 'this': 0.04309191110124697, 'to': 0.040715264153781, 'VBD': 0.04067650712880498, 'VBP': 0.03138811146162122, 'of': 0.02690976694224029, 'with': 0.02597402672788665, 'so': 0.02381317327635878}"
0.9738562091503268,0.9738383277048691,0.9751552795031055,0.9738562091503268,0.97452,1,1.0,0.9731543624161074,1.0,0.9477124183006536,[],"[1171894, 978419, 978660, 978864, 978502, 978725, 978367, 978688]","{'TTR': 0.13551797354277695, 'mean_sen_len': 0.10346682653429473, 'or': 0.05425071781953224, 'to': 0.05058048544228598, 'this': 0.041683211924726384, 'VBD': 0.0412361883015341, 'with': 0.031277880106874725, 'VBP': 0.029795442343979843, 'is': 0.029231872895297377, 'from': 0.022136872952458895}"
0.9673202614379085,0.9672853232979816,0.9693251533742331,0.9673202614379085,0.96835,1,1.0,0.9662162162162162,1.0,0.934640522875817,[],"[978358, 978611, 978436, 978684, 978738, 978516, 978831, 1228796, 978946, 978593]","{'mean_sen_len': 0.12046062590385953, 'TTR': 0.11687775751795625, 'or': 0.05901000945852611, 'to': 0.055666850028983327, 'this': 0.0395664125590324, 'VBD': 0.03476499624075615, 'VBP': 0.03152376136474535, 'and': 0.026425023399365206, 'is': 0.02510204913814121, 'you': 0.024899667641569496}"
0.9640522875816994,0.9640057744746833,0.9664634146341464,0.9640522875816994,0.9653,1,1.0,0.9627118644067797,1.0,0.9281045751633987,[],"[978498, 978688, 1171894, 978738, 978419, 978436, 978358, 978767, 978831, 978617, 978760]","{'TTR': 0.11651533008949624, 'mean_sen_len': 0.11549324063275704, 'or': 0.05766761707765186, 'this': 0.04237441043787252, 'with': 0.036078467252243736, 'VBD': 0.032667904488461914, 'is': 0.03102560430467847, 'to': 0.0294942303638198, 'VBP': 0.027167933627907193, 'of': 0.0248026745743477}"
