accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.925,0.9248798076923077,0.9277375201288245,0.925,0.92188,1,0.885,0.9278846153846154,0.8935185185185185,0.965,"[1248634, 1191890, 837343, 1191767, 1090272, 1247952, 1190940, 1191150, 1250028, 1249104, 837420, 1092931, 1091502, 1092789, 1093099, 1191662, 1248955, 1091550, 1093388, 1191675, 1093005, 1093749, 1191245]","[1166209, 932624, 1222997, 1166184, 1166152, 932566, 932538]","{'TTR': 0.1122426523149263, 'PRP$': 0.04041009856553436, 'have': 0.03755679728789595, 'on': 0.03545161457628129, 'with': 0.03503704013590844, 'that': 0.028314470318530998, 'said': 0.0269601412913031, 'it': 0.02688781089266221, 'for': 0.02659050973840175, 'as': 0.024834283159976656}"
0.9375,0.9374808535113879,0.9380365948286651,0.9375,0.93639,1,0.92,0.9385749385749386,0.9227053140096618,0.955,"[1193305, 1092902, 1191223, 1091917, 1092517, 1092688, 1091550, 1192400, 1249446, 1248349, 1247817, 1154479, 836960, 1092371, 1249200, 1249501]","[1222997, 1166184, 933113, 932952, 933229, 1223083, 932566, 1223036, 1166156]","{'TTR': 0.12296309097928129, 'with': 0.046193006384363376, 'VBP': 0.04143566765633842, 'an': 0.032569498312227614, 'that': 0.0321262185754957, 'we': 0.03186635966211367, 'have': 0.030727755101709785, 'for': 0.029450810847235276, 'PRP$': 0.026999552891255593, 'and': 0.02247881571283624}"
0.9475,0.9474260679079956,0.9500314267756128,0.9475,0.94545,1,0.91,0.9493975903614458,0.9162790697674419,0.985,"[1193183, 1193199, 1248148, 1091000, 1093367, 1193866, 1090326, 1249876, 1250798, 1192749, 1092538, 1090515, 1093059, 837113, 1248299, 1091791, 1249903, 1191616]","[1223083, 932566, 933060]","{'TTR': 0.0992396041185632, 'with': 0.03778591515625287, 'for': 0.036966801343991676, 'have': 0.03605204292206043, 'we': 0.0314026272429948, 'PRP$': 0.03109367304723143, 'said': 0.02805272143670428, 'it': 0.027099523933595226, 'VBP': 0.02533552171771607, 'is': 0.02493726998740657}"
0.9,0.8996965821610371,0.9048992813037756,0.9,0.89418,1,0.845,0.9052132701421801,0.8603603603603603,0.955,"[1193591, 1193195, 1250490, 1193551, 1248802, 1093476, 1249629, 1193875, 1093550, 1191167, 1090116, 1248299, 1193522, 1093281, 837085, 837330, 1250280, 1091930, 1192378, 837071, 1250329, 1249735, 1093276, 1193091, 1192262, 1090529, 1092309, 1193884, 1192420, 1092135, 1192051]","[932714, 933140, 932912, 932722, 933005, 1166209, 932926, 932582, 933066]","{'TTR': 0.10481072542224636, 'for': 0.03791829538752122, 'we': 0.03560358056297122, 'PRP$': 0.03433249294495212, 'have': 0.03393720790331321, 'VBP': 0.03335787690623919, 'with': 0.03301887231833037, 'and': 0.02999152580634315, 'said': 0.027081433018321565, 'be': 0.02699177203030363}"
0.93,0.9299719887955183,0.9306891025641025,0.93,0.92857,1,0.91,0.9313725490196079,0.9134615384615384,0.95,"[1090272, 1193410, 1250005, 837382, 1250082, 1093809, 1193896, 1092969, 1154450, 1191011, 1249790, 1249735, 1192958, 1092214, 1093004, 1192229, 1191111, 837172]","[1166167, 932624, 1222997, 933172, 932981, 932903, 933066, 932714, 1166232, 933043]","{'TTR': 0.12169485056597722, 'have': 0.05177863749362399, 'with': 0.0418604104327111, 'for': 0.0354209520562953, 'we': 0.034552832352190685, 'is': 0.02743519119195757, 'VBP': 0.02638378820940977, 'it': 0.022970222297518085, 'PRP$': 0.021548288214519894, 'to': 0.020982705336932483}"
0.92,0.9198376712843509,0.9234297812279465,0.92,0.91623,1,0.875,0.9234449760765551,0.8853211009174312,0.965,"[1248533, 1092004, 1249859, 1193135, 1092151, 1249591, 1090691, 1191223, 1192856, 1191245, 1247827, 1249341, 837173, 1193626, 1250448, 1193300, 1191861, 1093262, 1092364, 1093479, 1191957, 1247885, 1191382, 1091930, 1091642]","[932854, 933060, 932912, 1223066, 932926, 932981, 932929]","{'TTR': 0.10218999744857367, 'for': 0.045503937490933184, 'have': 0.04157061889673426, 'with': 0.03659652367589938, 'and': 0.030503620877700883, 'on': 0.030409512642369397, 'PRP$': 0.02858848254875401, 'is': 0.028101088658543386, 'that': 0.02659273926559794, 'it': 0.024323577133850704}"
0.94,0.9399939993999399,0.9401760704281713,0.94,0.94059,1,0.95,0.9393939393939394,0.9489795918367347,0.93,"[1249752, 1192813, 1249386, 1192118, 1191910, 1191473, 1193312, 1090040, 1192678, 1093874]","[1166152, 1223066, 932809, 933043, 932952, 932981, 932926, 1166184, 932903, 933139, 933172, 932566, 1223083, 932738]","{'TTR': 0.10394394199540073, 'have': 0.045150906745389234, 'PRP$': 0.037713716789986605, 'with': 0.033007649387961566, 'VBP': 0.031750869456736414, 'for': 0.031557871266206926, 'is': 0.03036237569624445, 'and': 0.02590830532124604, 'VBG': 0.025685197033247346, 'we': 0.02425849937752806}"
0.93,0.929857962373807,0.9335114426857547,0.93,0.9267,1,0.885,0.9330143540669856,0.8944954128440367,0.975,"[1090356, 1248982, 1192270, 1193442, 1191849, 1093258, 1192539, 1093281, 1091389, 1193875, 1091234, 1250139, 1250653, 1091483, 1248615, 1250037, 1091335, 837382, 1091744, 1193509, 1191675, 1250776, 1093757]","[1223036, 932903, 932854, 1166207, 932508]","{'TTR': 0.11345452419497531, 'with': 0.043427779623215555, 'have': 0.041905410329370084, 'PRP$': 0.03830801061864881, 'for': 0.034995567732942316, 'this': 0.028254963892590305, 'is': 0.0257603943184544, 'on': 0.025625861594330647, 'we': 0.025023489102561674, 'it': 0.024429984877876097}"
0.9375,0.9374526986033187,0.9388274530454624,0.9375,0.93573,1,0.91,0.9391727493917275,0.9146919431279621,0.965,"[1191219, 1093151, 1248407, 1247859, 1091257, 1249231, 1192209, 1192790, 1093435, 1250588, 1250439, 1192400, 1191849, 1250770, 1250849, 1250503, 1092125, 1091429]","[932926, 933005, 1166209, 932722, 1166233, 933291, 932738]","{'TTR': 0.12427685524109343, 'with': 0.03877854163488101, 'said': 0.03802939825227222, 'we': 0.03150027524835644, 'have': 0.029759169461986236, 'VBP': 0.027218807136564473, 'for': 0.027054269254170857, 'that': 0.025172651005967835, 'this': 0.023700556051923335, 'PRP$': 0.02321141359863851}"
0.945,0.9449876222149984,0.9454008607746972,0.945,0.94416,1,0.93,0.9458128078817734,0.9320388349514563,0.96,"[1090529, 1192797, 837633, 1091937, 1250822, 1250706, 1090799, 1193994, 1249860, 1192104, 1250869, 1192382, 837496, 1093770]","[1166156, 1166152, 932926, 932981, 933172, 932624, 933291, 1166184]","{'TTR': 0.09663492755761344, 'with': 0.04408032899138293, 'for': 0.038958358486348064, 'have': 0.03724516473739405, 'VBP': 0.03148867210235741, 'said': 0.030836959312947488, 'from': 0.028851266374818205, 'that': 0.02819377299156491, 'be': 0.02143040356448369, 'at': 0.02113653541070318}"
